Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID,Supervisor Districts,Fire Prevention Districts,Current Police Districts,Neighborhoods - Analysis Boundaries,Zip Codes,Neighborhoods (old),Police Districts,Civic Center Harm Reduction Project Boundary,HSOC Zones,Central Market/Tenderloin Boundary Polygon - Updated
193341572,T02,19144174,Alarms,11/30/2019,11/30/2019,11/30/2019 13:55,11/30/2019 13:56,11/30/2019 13:56,11/30/2019 13:58,11/30/2019 13:58,,,Fire,11/30/2019 14:02,0 Block of BEACH ST,San Francisco,94133,B01,28,939,3,3,3,FALSE,Alarm,1,TRUCK,1,1,3,North Beach,"(37.80805009690594, -122.40987728293071)",193341572-T02,10,3,1,23,308,23,1,,,
193101900,RC3,19134022,Medical Incident,11/6/2019,11/6/2019,11/6/2019 12:11,11/6/2019 12:12,11/6/2019 12:12,11/6/2019 12:13,,,,Code 3 Transport,11/6/2019 12:13,LARKIN ST/GEARY ST,San Francisco,94109,B04,3,1556,E,E,3,TRUE,Potentially Life-Threatening,1,RESCUE CAPTAIN,7,4,6,Tenderloin,"(37.78610103882032, -122.41808809882461)",193101900-RC3,9,13,6,36,28858,36,9,,,1
200071312,E01,20002815,Alarms,1/7/2020,1/7/2020,1/7/2020 10:25,1/7/2020 10:26,1/7/2020 10:26,1/7/2020 10:26,1/7/2020 10:33,,,Fire,1/7/2020 10:35,600 Block of HOWARD ST,San Francisco,94105,B03,1,2177,3,3,3,TRUE,Alarm,1,ENGINE,2,3,6,Financial District/South Beach,"(37.78542585632044, -122.39987016514887)",200071312-E01,9,6,2,8,28853,6,2,,,
193601143,RC1,19155796,Medical Incident,12/26/2019,12/26/2019,12/26/2019 11:06,12/26/2019 11:06,12/26/2019 11:07,12/26/2019 11:08,,,,Medical Examiner,12/26/2019 11:25,2800 Block of VAN NESS AVE,San Francisco,94123,B04,28,3145,3,2,2,TRUE,Non Life-threatening,1,RESCUE CAPTAIN,3,4,2,Marina,"(37.801775030503435, -122.42480656314918)",193601143-RC1,1,13,6,13,57,17,9,,,
200310051,54,20013094,Medical Incident,1/31/2020,1/30/2020,1/31/2020 0:23,1/31/2020 0:24,1/31/2020 0:24,1/31/2020 0:24,1/31/2020 0:32,1/31/2020 0:48,1/31/2020 0:51,Code 2 Transport,1/31/2020 1:08,TURK ST/HYDE ST,San Francisco,94102,B02,3,1554,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,2,6,Tenderloin,"(37.78258503328092, -122.41569387210927)",200310051-54,9,7,10,36,28852,36,10,1,1,1
193213794,E03,19138929,Medical Incident,11/17/2019,11/17/2019,11/17/2019 22:30,11/17/2019 22:32,11/17/2019 22:32,11/17/2019 22:34,11/17/2019 22:36,,,Code 2 Transport,11/17/2019 22:42,400 Block of TURK ST,San Francisco,94102,B02,3,1554,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,2,6,Tenderloin,"(37.78255695630781, -122.4163494281827)",193213794-E03,9,7,10,36,28852,36,10,1,1,1
193532808,KM11,19152985,Medical Incident,12/19/2019,12/19/2019,12/19/2019 16:57,12/19/2019 17:01,12/19/2019 17:01,12/19/2019 17:01,12/19/2019 17:04,,,No Merit,12/19/2019 17:08,1400 Block of GREENWICH ST,San Francisco,94109,B01,28,3132,2,2,2,FALSE,Non Life-threatening,1,PRIVATE,1,4,2,Russian Hill,"(37.80056235097173, -122.42363717716877)",193532808-KM11,1,13,6,32,28858,32,9,,,
200070250,E31,20002704,Alarms,1/7/2020,1/6/2020,1/7/2020 3:17,1/7/2020 3:19,1/7/2020 3:19,1/7/2020 3:21,1/7/2020 3:24,,,Fire,1/7/2020 4:53,100 Block of 7TH AV,San Francisco,94118,B07,31,7126,3,3,3,FALSE,Alarm,1,ENGINE,2,7,1,Inner Richmond,"(37.785743069707166, -122.46562722792817)",200070250-E31,2,11,9,11,54,11,6,,,
200112975,E42,20004669,Medical Incident,1/11/2020,1/11/2020,1/11/2020 19:44,1/11/2020 19:47,1/11/2020 19:48,1/11/2020 19:48,1/11/2020 19:50,,,No Merit,1/11/2020 19:52,SILVER AV/SAN BRUNO AV,San Francisco,94134,B10,42,6362,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,10,9,Portola,"(37.7324386586756, -122.4056075491991)",200112975-E42,7,10,3,25,309,28,3,,,
193061899,88,19132370,Medical Incident,11/2/2019,11/2/2019,11/2/2019 13:16,11/2/2019 13:18,11/2/2019 13:19,11/2/2019 13:19,11/2/2019 13:38,11/2/2019 14:03,11/2/2019 14:18,Code 2 Transport,11/2/2019 15:05,700 Block of FOLSOM ST,San Francisco,94107,B03,1,2176,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,3,6,South of Market,"(37.783175791487466, -122.39960354182237)",193061899-88,9,6,2,34,28856,34,2,,,
